[INFO] [1776168924.561554052] [cpgfanet_topic_inference]: Modelo de inferencia por topico cargado en cuda:0.
[INFO] [1776168929.058158144] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=173.7 ms | preprocess=4.1 ms | infer=131.3 ms | post=38.3 ms | fps_avg=5.76 | fps_out=0.20 | last_total=173.7 ms | last_infer=131.3 ms | processed=3 | rgb_rx=4 | tir_rx=6 | dropped=1 | cuda_mem=1008/1780 MB
[INFO] [1776168934.137794351] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=172.6 ms | preprocess=4.1 ms | infer=129.1 ms | post=39.3 ms | fps_avg=5.80 | fps_out=5.71 | last_total=166.7 ms | last_infer=125.1 ms | processed=32 | rgb_rx=34 | tir_rx=36 | dropped=2 | cuda_mem=1008/1780 MB
[INFO] [1776168939.294232120] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=169.3 ms | preprocess=4.1 ms | infer=127.0 ms | post=38.2 ms | fps_avg=5.91 | fps_out=5.82 | last_total=167.0 ms | last_infer=125.3 ms | processed=62 | rgb_rx=67 | tir_rx=69 | dropped=8 | cuda_mem=1008/1780 MB
[INFO] [1776168944.411473459] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.4 ms | preprocess=4.1 ms | infer=125.6 ms | post=37.7 ms | fps_avg=5.97 | fps_out=5.86 | last_total=166.1 ms | last_infer=124.6 ms | processed=92 | rgb_rx=98 | tir_rx=100 | dropped=10 | cuda_mem=1008/1780 MB
[INFO] [1776168949.503519293] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.0 ms | preprocess=4.1 ms | infer=125.2 ms | post=37.6 ms | fps_avg=5.99 | fps_out=5.89 | last_total=166.9 ms | last_infer=124.9 ms | processed=122 | rgb_rx=129 | tir_rx=131 | dropped=12 | cuda_mem=1008/1780 MB
[INFO] [1776168954.620108497] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.0 ms | preprocess=4.1 ms | infer=125.2 ms | post=37.7 ms | fps_avg=5.99 | fps_out=5.86 | last_total=167.1 ms | last_infer=124.6 ms | processed=152 | rgb_rx=160 | tir_rx=162 | dropped=14 | cuda_mem=1008/1780 MB
[INFO] [1776168959.697756416] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.1 ms | preprocess=4.1 ms | infer=125.2 ms | post=37.8 ms | fps_avg=5.98 | fps_out=5.91 | last_total=166.3 ms | last_infer=124.8 ms | processed=182 | rgb_rx=191 | tir_rx=193 | dropped=16 | cuda_mem=1008/1780 MB
[INFO] [1776168964.831108799] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=166.9 ms | preprocess=4.1 ms | infer=125.1 ms | post=37.7 ms | fps_avg=5.99 | fps_out=5.84 | last_total=168.0 ms | last_infer=126.4 ms | processed=212 | rgb_rx=223 | tir_rx=226 | dropped=21 | cuda_mem=1008/1780 MB
[INFO] [1776168969.890193305] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.0 ms | preprocess=4.1 ms | infer=126.1 ms | post=37.9 ms | fps_avg=5.95 | fps_out=5.73 | last_total=168.9 ms | last_infer=126.6 ms | processed=241 | rgb_rx=254 | tir_rx=258 | dropped=26 | cuda_mem=1008/1780 MB
[INFO] [1776168975.120717268] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.7 ms | preprocess=4.1 ms | infer=126.4 ms | post=38.2 ms | fps_avg=5.93 | fps_out=5.74 | last_total=168.5 ms | last_infer=125.8 ms | processed=271 | rgb_rx=287 | tir_rx=291 | dropped=32 | cuda_mem=1008/1780 MB
[INFO] [1776168980.121212995] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.2 ms | post=38.0 ms | fps_avg=5.94 | fps_out=5.80 | last_total=169.5 ms | last_infer=127.3 ms | processed=300 | rgb_rx=318 | tir_rx=322 | dropped=36 | cuda_mem=1008/1780 MB
[INFO] [1776168985.141532789] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.0 ms | preprocess=4.1 ms | infer=126.3 ms | post=37.6 ms | fps_avg=5.95 | fps_out=5.78 | last_total=167.6 ms | last_infer=126.1 ms | processed=329 | rgb_rx=350 | tir_rx=354 | dropped=42 | cuda_mem=1008/1780 MB
[INFO] [1776168990.176831971] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.5 ms | preprocess=4.1 ms | infer=126.7 ms | post=37.7 ms | fps_avg=5.94 | fps_out=5.76 | last_total=169.9 ms | last_infer=127.8 ms | processed=358 | rgb_rx=380 | tir_rx=385 | dropped=45 | cuda_mem=1008/1780 MB
